country_or_area,slope,r_squared,year,unit,quantity
Libya,103.22461538461538,0.6866203951142754,1995,"Metric tons,  thousand",1e3
Libya,103.22461538461538,0.6866203951142754,1996,"Metric tons,  thousand",1026
Libya,103.22461538461538,0.6866203951142754,1997,"Metric tons,  thousand",1257
Libya,103.22461538461538,0.6866203951142754,1998,"Metric tons,  thousand",1668
Libya,103.22461538461538,0.6866203951142754,1999,"Metric tons,  thousand",1881
Libya,103.22461538461538,0.6866203951142754,2000,"Metric tons,  thousand",2133
Libya,103.22461538461538,0.6866203951142754,2001,"Metric tons,  thousand",2243
Libya,103.22461538461538,0.6866203951142754,2002,"Metric tons,  thousand",2662
Libya,103.22461538461538,0.6866203951142754,2003,"Metric tons,  thousand",2935
Libya,103.22461538461538,0.6866203951142754,2004,"Metric tons,  thousand",2821
Libya,103.22461538461538,0.6866203951142754,2005,"Metric tons,  thousand",2702
Libya,103.22461538461538,0.6866203951142754,2006,"Metric tons,  thousand",3073
Libya,103.22461538461538,0.6866203951142754,2007,"Metric tons,  thousand",2881
Libya,103.22461538461538,0.6866203951142754,2008,"Metric tons,  thousand",2892
Libya,103.22461538461538,0.6866203951142754,2009,"Metric tons,  thousand",3058
Libya,103.22461538461538,0.6866203951142754,2010,"Metric tons,  thousand",2519
Libya,103.22461538461538,0.6866203951142754,2011,"Metric tons,  thousand",1511
Libya,103.22461538461538,0.6866203951142754,2012,"Metric tons,  thousand",2014
Libya,103.22461538461538,0.6866203951142754,2013,"Metric tons,  thousand",3122
Libya,103.22461538461538,0.6866203951142754,2014,"Metric tons,  thousand",3328
Argentina,62.373846153846145,0.48223113772945775,1990,"Metric tons,  thousand",650
Argentina,62.373846153846145,0.48223113772945775,1991,"Metric tons,  thousand",381
Argentina,62.373846153846145,0.48223113772945775,1992,"Metric tons,  thousand",327
Argentina,62.373846153846145,0.48223113772945775,1993,"Metric tons,  thousand",174
Argentina,62.373846153846145,0.48223113772945775,1994,"Metric tons,  thousand",281
Argentina,62.373846153846145,0.48223113772945775,1995,"Metric tons,  thousand",233
Argentina,62.373846153846145,0.48223113772945775,1996,"Metric tons,  thousand",208
Argentina,62.373846153846145,0.48223113772945775,1997,"Metric tons,  thousand",127
Argentina,62.373846153846145,0.48223113772945775,1998,"Metric tons,  thousand",133
Argentina,62.373846153846145,0.48223113772945775,1999,"Metric tons,  thousand",162
Argentina,62.373846153846145,0.48223113772945775,2000,"Metric tons,  thousand",136
Argentina,62.373846153846145,0.48223113772945775,2001,"Metric tons,  thousand",100
Argentina,62.373846153846145,0.48223113772945775,2002,"Metric tons,  thousand",85
Argentina,62.373846153846145,0.48223113772945775,2003,"Metric tons,  thousand",91
